Security / ISIN,Transaction Type,Quantity,Share Price,Total Trade Value,Trade Date/Time,Settlement Date,Broker
Vanguard FTSE All-World / ISIN IE00BK5BQT80,Buy,2.699055,£110.79,£299.04,23/12/24 15:18:12,27/12/24,None
Vanguard FTSE All-World / ISIN IE00BK5BQT80,Buy,2.594594,£116.00,£300.96,23/01/25 15:00:08,27/01/25,None
Vanguard FTSE All-World / ISIN IE00BK5BQT80,Buy,2.601457,£115.08,£299.38,21/02/25 15:08:51,25/02/25,None
Vanguard FTSE All-World / ISIN IE00BK5BQT80,Buy,2.801021,£107.32,£300.60,21/03/25 15:07:55,25/03/25,None
Vanguard FTSE All-World / ISIN IE00BK5BQT80,Sell,10.696127,£102.22,£1093.41,30/04/25 14:13:11,02/05/25,None
